Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16930864201700000063P;FA051281;PAGO CONFIRMADO;56,52;0;30/05/2017;07/06/2017;56.52;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911833201700000061P;FA051283;PAGO CONFIRMADO;180,86;0;30/05/2017;07/06/2017;180.86;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901637201700000724P;FA051249;PAGO CONFIRMADO;904,34;0;30/05/2017;07/06/2017;904.34;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927662201700000060P;FA051192;PAGO CONFIRMADO;56,52;0;29/05/2017;06/06/2017;56.52;06/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927662201700000062P;FA051160;PAGO CONFIRMADO;169,56;0;29/05/2017;06/06/2017;169.56;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927662201700000058P;FA051156;PAGO CONFIRMADO;56,52;0;29/05/2017;06/06/2017;56.52;06/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000030P;FA051141;PAGO CONFIRMADO;904,34;0;29/05/2017;06/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16007882201700000004P;FA051130;PAGO CONFIRMADO;542,12;0;29/05/2017;06/06/2017;542.12;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911264201600000146P;FA051107;PAGO CONFIRMADO;904,34;0;29/05/2017;06/06/2017;904.34;06/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911043201700000094P;FA051123;PAGO CONFIRMADO;58,34;0;29/05/2017;06/06/2017;58.34;06/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
